sensor 1, sensor 2, sensor 3, sensor 4, sensor 5, sensor 6
1160,7136,4339,4949,12907,16117
1381,7679,4979,5357,13124,15178
1172,7381,4262,5194,12864,15962
1284,7393,4717,5190,12833,15871
1224,7051,4453,5868,12831,16530
886,7618,4056,4874,13000,16245
1096,7572,4514,5357,13514,15963
1274,6979,4982,5427,13211,16698
989,7190,4194,4245,13040,16554
1293,7500,4604,5405,13214,16151
1326,7427,4473,5028,13974,16194
398,6804,4227,5001,13048,16241
1024,6390,4538,5432,13472,16246
779,7851,2649,4738,13069,15936
1237,7674,4607,5166,12794,16295
1093,7596,4152,4939,13013,16127
1076,7311,4245,4965,12964,16424
1186,7449,5323,5088,12785,16218
1032,7303,4352,5088,13049,15991
1381,7349,4405,5471,13090,16713
1224,7362,4454,5461,13379,16078
721,6941,4286,4427,13220,16177
842,8317,4184,4821,13041,16489
2064,7394,4116,4942,13124,16395
945,7224,4822,4795,13483,15910
1361,7257,4532,5272,13036,15871
1094,7679,4676,5609,13286,15986
1538,7451,4551,5257,13051,15712
1184,7696,4732,5284,13158,16741
1358,7650,4605,4969,13172,16790
977,6900,4233,4546,13594,16263
973,7447,4412,5019,12755,16142
1488,7332,3389,5248,13397,15945
1208,7029,4355,4816,13378,16186
923,7492,4651,5459,13008,15946
1284,7573,5231,4946,13075,15871
1396,7962,4509,5290,13085,15725
1045,6978,4398,5355,13557,16317
1493,7068,4794,5420,13107,16024
1133,7291,4607,4816,12620,16290
1032,8521,4125,4497,13214,16332
214,7324,4437,5034,13427,16171
684,7588,4531,5088,12857,16144
716,8108,4174,4928,13108,16440
1533,7472,4636,5148,13222,16776
1277,7271,4470,5301,13344,16136
764,7039,4445,4840,12401,16622
1222,6100,4307,5201,13352,16172
510,7260,5249,4814,13124,16475
1138,7560,4664,4824,13122,15146
950,7332,3531,5165,13012,16095
1344,7632,3574,5440,13072,16422
1285,7428,4661,4423,13152,16166
3583,7118,4641,5464,13192,16201
1949,7382,4400,5080,14062,16051
796,7302,4448,5089,13080,14855
632,7209,3240,5076,13174,15107
1268,7400,4607,4604,13533,16256
1060,7413,4328,4959,12978,15824
1309,7744,4604,4945,12912,15292
976,7513,4770,5349,13321,15441
938,7569,4607,5048,12715,15899
926,6615,3600,4918,13316,16165
1115,7501,4478,5194,12920,16450
1260,6954,4607,5204,13368,15902
1300,7521,4607,4506,13539,15906
886,6604,4172,5010,12893,16435
1116,7585,4864,5083,13690,16021
860,7356,4134,5211,12646,16215
721,7105,3191,5100,13110,16284
1050,7574,4393,5156,12799,16063
1086,7040,3981,4968,13391,16008
1731,7555,4444,5322,13052,15958
1320,7692,4627,5208,12865,16082
1360,7445,4573,5121,12874,16107
1152,7308,4433,4552,13197,16188
1430,7547,4713,5451,13087,16033
872,7345,4577,5012,12799,16327
849,7344,4525,4987,13238,16093
932,7202,4432,5001,13348,16151
992,7769,4512,5229,13097,16494
853,7208,4507,5039,12939,16155
1082,6996,4134,4890,13536,16337
1390,7677,4210,4325,12967,16155
872,6956,4174,4852,13245,16523
1047,5394,4181,5124,13460,16344
1151,7349,4050,4827,12637,16652
996,7211,4449,5975,12823,16562
887,6933,4515,5976,12912,16414
792,6911,4154,4936,13267,16234
658,7391,4453,5719,13431,15889
1162,7489,4528,4830,13030,16309
936,7087,4579,5198,12933,16166
1440,7766,4682,5315,13091,15931
1111,7453,4676,4948,13359,15999
1445,7396,4717,5246,13229,16976
1158,7308,4410,5496,13287,16113
1058,7376,3593,4959,13334,15828
862,6992,4685,4822,12339,16459
776,7180,4607,5133,13106,16163
990,7225,4516,4957,13100,16822
874,7194,4318,4977,13340,16889
884,6906,4124,4898,13391,16410
1253,6848,5316,4808,12951,16333
1740,7598,4607,5492,13122,15606
956,6611,4600,5406,12932,16002
1128,7764,3488,5237,13064,16040
828,7602,4200,4975,12914,16384
1204,7339,4022,4589,13452,16427
1139,6998,4662,5231,12866,16818
0,7088,5451,4723,12948,16388
1092,8264,4038,5003,13059,16220
1204,7104,4460,5294,12788,16505
1432,7311,4638,5329,13108,16596
1302,7374,4289,4781,13242,16043
746,7282,4833,5029,13135,16152
1181,7558,4697,5348,12799,16115
1395,7548,4521,5325,13054,15935
548,6829,4624,5176,12943,16214
964,6978,4426,4909,13011,16424
1153,7474,4622,5028,12945,16454
1297,7208,4169,5022,12383,16185
1281,7390,3760,5141,13010,15897
1335,7406,4002,4946,13262,16195
1337,7244,4520,5389,13146,16119
1200,7364,4473,4937,13017,16154
1220,7315,4477,5145,13217,16088
1423,6984,4847,5836,13519,16512
1300,7291,3914,5072,12905,16282
1149,7342,4556,4855,13037,16071
1089,7205,4587,4626,13561,15499
893,7268,4705,5487,13107,16798
760,7274,4534,5069,13376,16150
860,7182,4348,5196,13113,16159
982,6976,4384,5007,13334,16148
1239,8008,4460,5046,13208,16758
793,7256,3756,5171,13134,17033
2300,7209,3884,4660,13266,16392
1163,7433,3936,4973,12891,16186
825,7396,4491,4987,12722,15062
766,7422,4477,4930,13029,15788
786,7516,4375,4964,12928,16227
748,6658,4198,4985,12963,16157
375,7669,4710,5328,13179,17455
1158,7068,4721,4427,13499,16717
1359,7234,4233,5051,12885,16214
1328,7454,4607,5341,13012,15854
860,6835,4213,4845,13146,16476
1406,7411,4848,5371,13115,16064
1072,7273,4232,4845,13461,16205
1042,7212,3757,5035,13416,15891
1097,7078,5185,5216,13179,16391
1255,6948,4304,5329,13226,16234
1065,6976,4187,4810,13569,16287
978,7404,4011,5046,13255,16145
1198,7417,4320,4814,12789,16673
1193,6978,4333,5083,13535,16131
1325,7304,4194,5033,13338,15363
1047,6906,4308,4836,12942,16014
1176,7418,4552,4863,13278,16312
3000,6873,4607,5631,12995,15968
1237,7564,4607,4515,13226,16080
808,7258,3888,5043,13386,16199
1241,7549,4651,4852,12813,16322
896,7062,4536,4928,12890,16535
1114,7306,4569,5181,13532,16106
904,7904,4137,4872,13072,16307
1132,7511,4363,4968,12937,16211
1118,7261,4829,5190,12978,16358
894,7215,4368,5142,13108,16184
981,7304,4424,4978,13000,15928
894,7079,4305,4969,13331,16332
1317,7679,4665,5303,13436,15210
961,7317,4292,4937,13037,16274
778,7012,4512,5577,13088,16394
824,6598,4198,4293,13109,16437
2102,7433,4613,5487,13377,16141
1564,7784,4030,4836,13069,16433
1434,7468,4607,5149,13224,17162
1154,7835,4010,5036,13266,16306
1344,7522,5062,4945,12058,16340
887,7345,4120,5130,12880,16202
1278,7872,4161,4720,13088,16221
1326,7609,4616,5328,13569,16154
1265,7758,4607,5350,12946,15991
1203,7099,4356,4943,12909,16229
1472,7421,4597,5768,13054,16433
1344,7667,5092,5308,13228,15946
887,7481,4421,5600,12976,16314
1361,7300,4513,5527,13060,16031
1353,7170,4366,5244,12927,16245
1066,7753,4612,5072,13160,16359
1092,7295,4312,5679,13193,16342
1280,7445,4569,5284,13080,16002
1026,7286,4412,4944,13250,15429
698,7403,4219,4964,13057,15944
1130,7403,4521,5026,13437,16046
853,6957,4414,5650,12923,16537
1138,7592,4605,5631,12972,16236
778,6992,4328,5098,13092,15578
1324,7340,5189,5848,13091,16280
719,7176,4458,5162,13592,14818
1432,7809,4365,5323,13010,16022
957,7034,4456,5141,13545,16087
102,6925,4217,4841,13060,16455
1197,7631,4354,4844,13025,16132
863,7248,4208,5214,13384,16097
1040,7367,2937,5166,13234,15892
1459,7571,4443,5297,13207,16811
1120,7237,3804,4844,13147,16336
1404,7497,4630,5261,13450,16946
848,7378,3659,4845,13033,16345
562,7433,4485,5296,13352,16040
1134,7062,4737,4624,13116,16088
1274,6735,4642,5487,13068,15734
1104,7539,4475,4986,12796,15306
1324,7339,4710,5363,13166,16050
1220,7642,4297,5266,13158,16072
802,6953,4380,5000,13449,16274
788,7770,4054,3778,13630,16456
859,7473,4351,4792,11962,16680
846,7024,4496,4826,12693,18929
1259,7923,4505,5326,13108,15871
1095,7596,4515,5026,12842,16665
554,7479,4648,5253,12758,16107
1220,7273,4169,5181,13405,16018
1036,7223,4533,5084,13130,16229
999,7545,4848,5063,13125,16724
1103,7248,4234,4938,13462,16498
964,7232,4379,5157,13126,15904
762,7010,4244,5083,13091,16306
1304,6748,4548,5597,13154,15907
1316,7657,4792,5374,12872,16016
1572,7018,4993,5378,12961,15964
1128,7358,4340,4721,12961,16304
1183,7348,5588,4994,12955,17063
967,7120,4223,4852,13511,16240
1312,7592,3800,5054,13122,15241
0,7028,4923,5770,12910,16317
895,7242,5178,4804,12932,16459
672,7032,4251,4650,12817,15785
1159,7606,4620,5146,13148,16292
1136,7537,4605,5270,13422,16119
944,7244,4542,4910,13588,16310
1038,7294,4700,4843,12310,16666
1320,7391,4607,4264,13534,15968
920,7191,4292,4937,12666,16531
1162,7188,4394,5019,13334,16270
882,7101,4145,2543,13249,16260
1248,7530,4748,4613,13454,16016
1260,7750,4447,5133,12913,15994
1864,7374,3935,5458,12982,16043
947,7278,5631,5082,12408,16064
1218,7311,4340,5060,12667,16329
838,6867,4425,5075,13165,16401
830,7114,5538,4607,12502,16818
964,7465,4509,5000,12956,16053
907,7382,4377,4928,12813,15717
1064,7414,4463,4844,13345,16023
739,7352,4784,5013,13044,16341
1554,7604,5076,5488,13110,16732
920,6874,4197,4784,13606,15697
1110,7444,4502,5201,12907,16643
4098,7996,4617,5450,13592,15871
1218,7510,4673,4880,13212,15907
786,7120,4221,4842,12791,16117
1055,7441,4860,5806,13046,16242
1069,7009,4248,4772,13532,16254
1448,7473,4523,5594,13004,15901
1038,7788,4376,5173,13192,15635
1158,7444,4411,5265,12912,16040
1111,7524,4549,6179,13048,16240
1236,7332,4723,5208,13454,16106
1258,7919,4549,4826,13172,16104
740,6848,4360,5013,13107,16458
928,7900,4186,4987,13357,16693
94,7061,4409,4948,12905,16338
1504,7985,4533,5301,13362,15892
955,7358,3733,5180,13234,15806
513,7206,3528,5042,13162,15058
1078,7309,4525,5201,13121,16096
789,7606,4546,4944,13076,16072
1146,7530,4607,5161,13647,15954
1174,7120,4368,5145,12994,16456
1129,7244,4482,5154,12989,16320
1357,7214,4101,5076,12813,16110
1195,7534,4624,4408,13723,15871
2157,7065,4152,5136,13500,16016
964,7651,4277,5211,13193,16177
1162,8314,4614,4917,13396,15917
1106,7247,3868,5026,13275,16630
828,6772,4191,4945,12840,16402
910,7265,4400,5212,13073,15584
1321,7249,4812,5356,13120,16855
1227,7323,4607,5324,12898,16080
1170,7200,4499,4844,12777,16440
910,8016,4182,4827,12968,16444
1124,7176,4104,4915,13379,16640
850,7333,3764,4857,13184,13209
1358,6971,3947,4997,13317,16201
833,6743,4202,4810,13332,16501
1056,7335,4370,4313,13607,16124
1509,7657,4607,5461,13146,15833
72,7033,3825,4978,12984,15635
1611,7304,5303,4720,13125,16228
965,7449,4775,4508,12911,15737
874,7792,4243,4284,13438,16254
1161,7282,4299,4871,13006,16395
827,6999,4536,5565,13043,16193
1047,7837,4228,5401,13151,16500
2095,7568,4618,5324,13168,15758
1196,7331,4530,5075,12873,16050
1026,7108,4452,4944,13437,16158
1351,7437,4591,5218,13052,16042
990,7316,4520,4630,12872,16550
788,7316,4489,4939,12829,16014
933,6950,4297,4101,13241,16282
1041,7521,4548,5082,12835,16320
1467,7352,4760,5377,12984,16022
1162,7333,4372,4825,13322,16328
1296,6945,4484,4904,13907,16608
1156,7208,4436,4881,13526,16150
1452,7561,4656,4927,12678,16320
1104,7392,3301,5030,12799,15248
1101,7243,4429,4840,13209,16142
1120,7275,4554,4908,13381,16086
1315,7142,4500,5142,12856,16166
1810,7215,4584,5442,13167,16452
1216,7216,4347,4439,12675,16247
1141,7395,4234,5026,13317,16201
832,7035,4492,4981,13399,16289
727,6956,4025,4837,13112,16181
511,7266,4607,5255,12873,16153
1380,6836,4306,4896,13316,16563
1334,7229,4981,5216,12970,15889
977,7554,4365,5629,12976,16356
1250,7530,4631,5035,12690,16350
1131,7488,4224,4832,13238,16462
1185,7484,4128,5328,12869,16049
945,7463,4506,5261,13095,16500
1454,7345,4252,5077,13011,16361
1463,7029,4498,5204,13033,16105
1280,7297,4858,4416,13838,15871
797,7381,4212,5294,13001,16880
1040,7474,4401,4930,12925,15819
1216,7302,4612,5127,13055,15948
964,7467,4251,5302,13165,16753
