Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
179,10519,3203,3592,12144,13123
0,9996,2717,3033,12001,14226
292,10305,2998,3459,12173,13433
322,11290,3301,3648,12690,13297
0,10733,2823,3584,11914,13691
0,10349,2977,2569,11755,13347
111,10412,3274,3501,12832,13352
182,10270,1474,3452,11765,13008
203,10024,2826,3319,12161,12620
94,10185,2083,2546,12550,13541
0,9962,2882,3404,11835,13670
0,10229,3035,3465,11858,13205
0,10256,2983,3480,11846,13496
299,9869,2568,3207,12021,13594
0,10336,3103,3299,11896,13489
35,10284,3051,3593,12005,13177
0,10125,2924,3240,12170,13504
196,10630,3144,3332,12764,13357
0,9816,3108,3187,12057,13344
40,10380,1847,2701,12259,13191
0,9752,2990,3524,11862,13096
249,10288,3130,3381,11719,13434
0,10996,2910,3545,11716,13387
0,10323,3100,3301,12087,13348
0,10012,3092,3795,11872,13173
79,10173,2973,3360,11944,13452
0,10138,3524,4297,11744,13624
280,10216,2813,3406,12048,13737
426,10672,3170,3437,11200,13569
259,10419,3100,3516,11903,12981
939,9895,2947,3070,12020,13888
1225,10635,3034,3602,12078,13480
132,10348,3042,3371,12274,13437
328,10561,3002,3316,12212,13448
254,10484,2985,2959,11905,13456
0,10353,2906,3027,12020,13450
777,10031,2850,3420,11540,13363
0,10585,2938,3492,11833,13462
295,10503,3210,3404,12168,13493
30,10560,3027,3083,11522,13751
153,10460,3204,3036,11895,13301
304,10109,2920,3409,12128,13677
0,9362,2141,3282,11848,13162
479,10186,2959,3793,12145,13370
0,9889,2724,3933,12017,13553
233,10483,3065,3127,11971,13505
648,10416,3071,3583,12150,13488
35,9925,2777,3102,12040,13526
320,10563,3216,3152,12680,14798
0,10434,3026,3204,12427,13768
40,10504,3244,2375,12308,13392
210,10275,2945,2980,12057,13763
0,10155,2822,2991,12077,13586
0,10376,2864,3284,11731,13257
238,10436,3212,3340,12103,13267
0,10186,2984,3307,12014,13308
369,10353,3136,3575,11936,13245
129,10170,2998,3484,11711,13931
0,10293,2761,3211,12301,13732
18,10031,2874,3068,11779,13782
0,10178,2728,2389,12130,13690
0,10749,3733,3492,11434,13414
258,10404,2986,3222,11844,13491
0,10069,3108,3497,12054,13122
0,9841,2824,3144,11913,13523
136,10159,3213,3199,11608,13970
34,10592,3042,3618,11637,13298
286,10110,2906,3258,12376,13643
370,10387,3306,3569,12230,13493
302,10747,2976,3634,12293,12961
439,10437,2241,3482,12124,13183
260,10421,3152,3477,11947,13180
0,10289,3165,3008,12014,13743
0,10215,2961,3218,12122,13388
192,10023,2888,3234,11468,13390
0,11089,3000,3234,11831,13522
173,10425,3037,3985,11876,13503
95,10132,3070,3280,11564,13914
0,10129,4280,3274,11969,13821
0,9896,2792,3650,11958,13706
0,10733,3131,3389,12138,13551
0,10123,2745,3189,12120,13713
43,9898,2690,3547,11183,13718
66,10547,3063,3300,11505,13643
754,10320,3025,3694,11930,13751
0,10178,3117,3242,11754,13622
307,10553,3346,3645,11956,13445
132,10907,3027,3063,12067,13760
285,10501,3544,3467,11948,14244
0,10084,3756,2814,12065,13868
0,10105,2875,4000,11668,11712
54,10094,3690,3712,11817,13502
0,10132,2884,3255,13227,13427
177,10388,3018,3472,12230,13354
42,10289,3214,3293,12209,13686
29,10286,3321,3600,12122,14028
0,9992,3408,3102,12108,13684
0,9974,2979,2943,11814,13482
0,9893,2763,3250,12230,13106
264,9721,3108,3778,12221,13288
248,10433,2320,3728,11819,13087
125,10388,3100,3458,11979,13238
0,10308,3431,2875,11999,13799
64,11159,2706,3333,13082,13339
176,10220,3256,3499,11767,13424
0,9895,2824,3103,11932,13469
0,9376,1684,3186,12097,13515
0,10028,3118,3526,12006,13124
404,9875,3365,3692,12053,14080
932,9824,2809,3166,12328,13594
0,10228,3118,3453,13862,13380
141,10368,2697,3706,11956,13437
309,10539,3296,3496,12037,13341
0,10142,3241,3629,11896,12711
165,10308,2767,2991,12373,13567
229,10385,3205,3460,11895,13548
53,10409,2642,3344,11200,13545
272,10252,3872,3498,11781,13481
0,9811,3035,3269,11736,13841
615,10426,1729,3641,12145,13480
292,10487,3134,3484,12089,13827
0,10131,2811,3185,12069,13536
0,9576,2175,3608,12100,13472
330,10570,3242,3526,12056,13638
0,10324,3152,4398,12104,13319
536,10121,2905,3005,11990,13688
166,10022,2813,3220,12133,13616
0,9488,2148,3217,11799,13307
0,10040,2889,3071,12002,13760
0,10415,2844,2500,11912,13450
0,10874,2959,3213,11714,13600
5,9143,2843,3416,11833,13655
127,9976,2897,3240,12100,13665
122,10116,2898,3339,12240,13332
261,10163,3464,3149,11051,15047
0,11548,3016,3416,11982,13242
0,9862,2989,3277,11762,13519
88,9989,3218,3159,11989,13750
565,9940,2720,3318,12925,13502
90,10266,3252,3271,12157,13716
212,9475,3070,3112,11685,13850
521,10441,2966,3245,11895,13533
0,9977,3070,3459,11914,13159
37,9864,2978,3517,12362,13812
208,10336,3186,4006,12005,13423
0,10277,3232,3264,11981,13421
565,10293,2944,3464,11864,13268
0,10836,3040,3071,11912,13597
656,9522,3379,3696,12066,13753
264,10456,2958,3544,12045,14469
64,10224,3227,3226,12278,12727
0,10011,3154,3560,11882,13437
113,10404,3060,3225,11727,13378
40,10092,3133,3280,12011,13712
36,10090,3247,3346,12065,13933
0,10013,2664,3100,11315,13526
0,10111,2930,3015,12060,13783
168,10605,2897,3029,12171,13419
130,9432,3029,3433,11743,13495
0,10653,3104,3535,12608,13508
37,10134,3034,3150,11940,13397
276,10102,3069,3571,12012,13524
0,10271,3230,3784,12630,13442
373,10209,3483,3523,12052,12551
26,10294,2966,3248,11996,13424
555,9927,2657,3183,11973,13556
327,10478,3096,3381,12894,13408
0,10185,3158,3812,12096,13428
0,10012,2783,3305,11850,13598
514,10201,3029,3382,11817,13350
257,10488,3212,3166,12199,13128
0,11147,3188,2896,12507,13454
237,10372,3218,3372,11296,13560
322,10132,2910,3467,12423,13460
381,10397,3035,3360,11944,13561
151,9605,3128,3324,12141,13501
130,10327,3221,3324,12206,13520
235,10518,3856,3488,12072,13451
51,10548,2842,3099,10816,13725
399,10839,3256,3501,12184,13302
495,10283,2794,3277,11972,13742
0,10258,3021,3238,12307,13603
0,10201,2825,3157,12354,13726
119,10354,3133,3327,11976,13302
50,10262,3117,3255,12404,13676
524,10008,3128,4312,11868,13904
99,10200,2980,3143,11941,13718
283,10420,3292,3381,11921,13260
416,9601,2871,3552,12177,13187
93,10088,3007,3232,12377,13604
281,10432,3694,3372,11476,13343
401,11333,3287,3544,12147,13281
49,10432,3302,3349,12250,13311
254,10470,2572,3508,11909,13398
257,10463,3075,4035,12112,13353
396,9760,2901,3368,12176,13247
338,10765,3268,3514,12212,13153
116,10361,3003,3230,12147,12806
608,10487,3220,3472,12064,13314
598,10219,2861,3605,12086,13128
181,10291,3469,3677,12093,14352
150,10651,3112,3345,11732,13328
131,10313,2585,3386,11884,13604
892,10154,3065,3697,11896,13802
0,10996,2912,3521,11856,13424
640,10401,3005,3361,11973,13223
292,10408,3205,3448,11908,11927
17,10246,3021,3465,12050,13213
0,10218,3140,3393,11966,13317
351,10811,3187,2975,12014,13316
523,10098,2795,3386,12203,13307
116,10217,3152,3898,12388,13272
0,9792,3666,3290,11617,13596
74,9875,2601,2690,12555,13380
0,10192,2926,3373,12230,13337
17,10076,3080,3206,12421,13604
0,10189,2986,3376,11956,13311
74,10380,2957,3264,12544,13513
403,10261,3107,3243,11140,13576
0,9939,3773,4357,11977,13643
425,10320,2822,2702,12162,13504
72,10369,3043,3030,12222,13250
0,10095,3121,3244,11943,13652
345,10343,2906,3580,12456,13406
203,10202,3104,3405,12230,13463
3,10130,2308,2920,12185,13739
162,10048,2918,3066,10987,13401
56,10304,3001,3520,11986,12535
569,10386,3098,3520,11997,13236
0,11154,3385,3213,11443,13612
32,9682,3065,3353,12104,14526
83,9798,3093,3705,11826,13194
4,9876,2568,3394,12048,13519
0,10172,3908,3592,12137,13702
159,10173,3071,3287,12357,13364
89,10245,3204,3520,11850,13324
0,10916,2952,3274,12010,13496
0,9993,3084,3235,11556,12662
194,9163,2866,3350,12100,13570
212,10374,2996,3068,11911,13237
0,10093,2963,3102,11970,13557
10,10240,3204,2733,12214,13603
68,10304,2476,2342,11347,13495
166,10218,2927,3565,12124,12676
0,10044,2648,3043,12074,13697
772,10697,2920,3396,11731,13332
0,10120,3388,3868,11871,12912
28,10161,3021,3313,12147,13699
342,9464,3307,3738,11978,13565
0,10033,2812,3328,11976,13497
72,9664,2851,3212,11852,13858
0,10120,2742,3031,12160,13705
186,10650,3320,3064,11479,13342
0,10247,3156,3428,11968,13316
0,10128,3137,4006,12016,13784
256,9836,2702,3217,12019,13592
0,9994,2765,3236,12120,13603
87,9708,3085,3289,11796,13423
0,10129,2688,3252,11905,13500
358,10187,3246,3455,12392,13244
426,9808,3122,3600,12028,13550
408,10197,3230,3654,12125,13429
182,10081,3057,3541,11892,13292
720,10246,3026,3477,12336,13282
38,10208,2793,3480,12126,13318
0,10086,3052,3652,11899,12499
102,10142,3762,2627,12260,13878
0,9891,2876,3637,11901,13770
97,10604,2380,3248,10988,13509
64,10503,2881,3486,11929,13394
0,10128,4279,3327,12185,13668
65,10307,2812,3111,12136,13496
0,10111,3295,3458,12096,13317
0,11434,2723,2899,11952,13832
40,10340,3285,2922,12852,13467
213,10120,2898,3299,11891,13484
393,10482,4516,3841,12020,13440
2,9880,2944,3030,11945,13617
384,10357,3476,3571,11528,13406
0,9877,2587,3398,11905,13483
0,10018,2756,3144,11983,13636
196,10388,3386,3593,12374,13269
305,10546,3152,3442,12047,13246
0,9965,3208,3705,12061,13128
133,10406,3168,2877,12181,12408
37,10396,2611,3447,12327,13348
158,10066,2756,3039,11880,13677
0,10242,3193,3628,9115,13385
0,10002,2605,3109,11976,13666
0,9237,2827,2862,12056,13295
0,8914,3033,3396,11831,13460
284,10228,2981,3384,11780,13586
187,10282,2039,3266,12085,12882
414,10607,3304,3407,11640,13387
196,9706,2573,3155,12010,13636
398,10512,2860,3361,12116,13701
0,10961,3172,3272,11960,13539
504,10056,3059,3821,12353,13780
0,10293,3108,3488,12093,13317
118,10418,3176,3524,12036,13055
168,10302,3732,3353,12201,13756
87,10456,3616,2820,12313,13399
0,10692,3129,3376,12176,13540
138,10160,1829,3279,12030,12860
137,10262,2681,3191,12008,13719
0,9950,3489,3872,11877,13131
0,10253,3200,3539,12352,13232
321,10067,2815,3041,12063,13377
852,10081,3420,2408,12205,13741
287,10278,2994,3361,11804,13452
262,10533,3260,3358,12059,13181
0,9969,2713,3105,12049,13653
0,10000,3146,3859,12356,13845
0,10268,2986,3337,12417,12424
394,9201,3240,3476,12187,13848
107,10340,3280,3530,12350,13320
48,10369,3348,2932,12199,13185
204,10425,3382,3370,12437,13512
178,10240,3024,3210,11851,13760
91,10293,3167,3376,12472,13589
411,10431,3224,3447,12165,13225
272,10496,3223,3326,12140,13654
0,11168,3145,3405,11799,13669
619,10496,2561,3519,12008,14004
434,10873,3076,3458,12080,14249
0,10081,2758,3284,11985,13658
72,10358,3110,3070,12413,13890
250,10097,2841,3383,12213,13414
